; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)
; - R800 instruction details obtained from here: https://www.msx.org/wiki/R800_Programming
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing MSX	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
DEC IYq	10	FD 05+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
DJNZ o	14/9	10 o	2	B				B,PC				true
EX (SP),IX	25	DD E3	2	HL,IX			[SP:SP+1]	IX			[SP:SP+1]	true
EX (SP),IY	25	FD E3	2	HL,IY			[SP:SP+1]	IY			[SP:SP+1]	true
IM 0	10	ED 46	2									true
IM 1	10	ED 56	2									true
IM 2	10	ED 5E	2									true
IN A,(C)	14	ED 78	2	C		C		A	S,Z,N			true
IN A,(n)	12	DB n	2			n		A	S,Z,N			true
IN B,(C)	14	ED 40	2	C		C		B	S,Z,N			true
IN C,(C)	14	ED 48	2	C		C		C	S,Z,N			true
IN D,(C)	14	ED 50	2	C		C		D	S,Z,N			true
IN E,(C)	14	ED 58	2	C		C		E	S,Z,N			true
IN F,(C)	14	ED 70	2	C		C		F	S,Z,N			true
IN H,(C)	14	ED 60	2	C		C		H	S,Z,N			true
IN L,(C)	14	ED 68	2	C		C		L	S,Z,N			true
INC IX	12	DD 23	2	IX				IX				true
INC IXp	10	DD 04+8*p	2	IXp				IXp	S,Z,H,P/V,N			true
INC IY	12	FD 23	2	IY				IY				true
INC IYq	10	FD 04+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
IND	18	ED AA	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		HL	true
INDR	23/18	ED BA	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		[HL-B:HL]	true
INI	18	ED A2	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		HL	true
INIR	23/18	ED B2	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		[HL:HL+B]	true
JP IX	10	DD E9	2	IX				PC				true
JP (IX)	10	DD E9	2	IX				PC				true
JP IY	10	FD E9	2	IY				PC				true
JP (IY)	10	FD E9	2	IY				PC				true
JR C,o	13/8	38 o	2		C			PC				true
JR NC,o	13/8	30 o	2		C			PC				true
JR NZ,o	13/8	20 o	2		Z			PC				true
JR Z,o	13/8	28 o	2		Z			PC				true
JR o	13	18 o	2					PC				true
LD (HL),n	11	36 n	2	HL							HL	true
LD A,I	11	ED 57	2	I				A	Z			true
LD A,IXp	10	DD 78+p	2	IXp				A				true
LD A,IYq	10	FD 78+q	2	IYq				A				true
LD A,R	11	ED 5F	2	R				A				true
LD A,n	8	3E n	2					A				true
LD B,IXp	10	DD 40+p	2	IXp				B				true
LD B,IYq	10	FD 40+q	2	IYq				B				true
LD B,n	8	06 n	2					B				true
LD C,IXp	10	DD 48+p	2	IXp				C				true
LD C,IYq	10	FD 48+q	2	IYq				C				true
LD C,n	8	0E n	2					C				true
LD D,IXp	10	DD 50+p	2	IXp				D				true
LD D,IYq	10	FD 50+q	2	IYq				D				true
LD D,n	8	16 n	2					D				true
LD E,IXp	10	DD 58+p	2	IXp				E				true
LD E,IYq	10	FD 58+q	2	IYq				E				true
LD E,n	8	1E n	2					E				true
LD H,n	8	26 n	2					H				true
LD I,A	11	ED 47	2	A				I				true
LD IXH,p	10	DD 60+p	2	p				IXH				true
LD IXL,p	10	DD 68+p	2	p				IXL				true
LD IYH,q	10	FD 60+q	2	q				IYH				true
LD IYL,q	10	FD 68+q	2	q				IYL				true
LD L,n	8	2E n	2					L				true
LD R,A	11	ED 4F	2	A				R				true
LD SP,IX	12	DD F9	2	IX				SP				true
LD SP,IY	12	FD F9	2	IY				SP				true
LDD	18	ED A8	2	BC,DE,HL			HL	BC,HL,DE	H,P/V,N		DE	true
LDDR	23/18	ED B8	2	BC,DE,HL			[HL-BC:HL]	BC,DE,HL			[DE-BC:DE]	true
LDI	18	ED A0	2	BC,DE,HL			HL	BC,HL,DE	H,P/V,N		DE	true
LDIR	23/18	ED B0	2	BC,DE,HL			[HL:HL+BC]	BC,DE,HL			[DE:DE+BC]	true
NEG	10	ED 44	2	A				A	S,Z,H,P/V,N,C			true
OR IXp	10	DD B0+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
OR IYq	10	FD B0+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
OR n	8	F6 n	2	A				A	S,Z,H,P/V,N,C			true
OTDR	23/18	ED BB	2	B,C,HL			[HL-B:HL]	B,HL	S,Z,H,P/V,N,C	C		true
OTIR	23/18	ED B3	2	B,C,HL			[HL:HL+B]	B,HL	S,Z,H,P/V,N,C	C		true
OUT (C),A	14	ED 79	2	A,C						C		true
OUT (C),B	14	ED 41	2	B,C						C		true
OUT (C),C	14	ED 49	2	C						C		true
OUT (C),D	14	ED 51	2	C,D						C		true
OUT (C),E	14	ED 59	2	C,E						C		true
OUT (C),H	14	ED 61	2	C,H						C		true
OUT (C),L	14	ED 69	2	C,L						C		true
OUT (n),A	12	D3 n	2	A						n		true
OUTD	18	ED AB	2	B,C,HL			HL	B,HL	S,Z,H,P/V,N,C	C		true
OUTI	18	ED A3	2	B,C,HL			HL	B,HL	S,Z,H,P/V,N,C	C		true
POP IX	16	DD E1	2	SP			[SP:SP+1]	IX,SP				true
