; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was optained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf (for the Amstrad CPC timings)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)	
; - out (c),r instructions in the Amstrad CPC actually also depend on "B", as ports are 16 addresses. So, even if they are written as "out (c),r", in reality the instruction is "out (bc),r"
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing Amstrad CPC	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
ADC HL,SP	4	ED 7A	2	HL,SP	C			HL	S,Z,H,P/V,N,C			true
ADD A,IXp	2	DD 80+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
ADD A,IYq	2	FD 80+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
ADD A,n	2	C6 n	2	A				A	S,Z,H,P/V,N,C			true
ADD IX,BC	4	DD 09	2	IX,BC				IX	H,N,C			true
ADD IX,DE	4	DD 19	2	IX,DE				IX	H,N,C			true
ADD IX,IX	4	DD 29	2	IX				IX	H,N,C			true
ADD IX,SP	4	DD 39	2	IX,SP				IX	H,N,C			true
ADD IY,BC	4	FD 09	2	IY,BC				IY	H,N,C			true
ADD IY,DE	4	FD 19	2	IY,DE				IY	H,N,C			true
ADD IY,IY	4	FD 29	2	IY				IY	H,N,C			true
ADD IY,SP	4	FD 39	2	IY,SP				IY	H,N,C			true
AND IXp	2	DD A0+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
AND IYq	2	FD A0+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
AND n	2	E6 n	2	A				A	S,Z,H,P/V,N,C			true
BIT b,(HL)	3	CB 46+8*b	2	HL			HL		S,Z,H,P/V,N			true
BIT b,r	2	CB 40+8*b+r	2	r					S,Z,H,P/V,N			true
CP IXp	2	DD B8+p	2	A,IXp					S,Z,H,P/V,N,C			true
CP IYq	2	FD B8+q	2	A,IYq					S,Z,H,P/V,N,C			true
CP n	2	FE n	2	A					S,Z,H,P/V,N,C			true
CPD	5	ED A9	2	A,HL,BC			HL	HL,BC	S,Z,H,P/V,N			true
CPDR	6/5	ED B9	2	A,HL,BC			[HL-B:HL]	HL,BC	S,Z,H,P/V,N			true
CPI	5	ED A1	2	A,HL,BC			HL	HL,BC	S,Z,H,P/V,N			true
CPIR	6/5	ED B1	2	A,HL,BC			[HL:HL+B]	HL,BC	S,Z,H,P/V,N			true
DEC IX	3	DD 2B	2	IX				IX				true
DEC IXp	2	DD 05+8*p	2	IXp				IXp	S,Z,H,P/V,N			true
DEC IY	3	FD 2B	2	IY				IY				true
DEC IYq	2	FD 05+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
DJNZ o	4/3	10 o	2	B				B,PC				true
EX (SP),IX	7	DD E3	2	HL,IX			[SP:SP+1]	IX			[SP:SP+1]	true
EX (SP),IY	7	FD E3	2	HL,IY			[SP:SP+1]	IY			[SP:SP+1]	true
IM 0	2	ED 46	2									true
IM 1	2	ED 56	2									true
IM 2	2	ED 5E	2									true
IN A,(C)	4	ED 78	2	BC		C		A	S,Z,N			true
IN A,(n)	3	DB n	2	B		n		A	S,Z,N			true
IN B,(C)	4	ED 40	2	BC		C		B	S,Z,N			true
IN C,(C)	4	ED 48	2	BC		C		C	S,Z,N			true
IN D,(C)	4	ED 50	2	BC		C		D	S,Z,N			true
IN E,(C)	4	ED 58	2	BC		C		E	S,Z,N			true
IN F,(C)	4	ED 70	2	BC		C		F	S,Z,N			true
IN H,(C)	4	ED 60	2	BC		C		H	S,Z,N			true
IN L,(C)	4	ED 68	2	BC		C		L	S,Z,N			true
INC IX	3	DD 23	2	IX				IX				true
INC IXp	2	DD 04+8*p	2	IXp				IXp	S,Z,H,P/V,N			true
INC IY	3	FD 23	2	IY				IY				true
INC IYq	2	FD 04+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
IND	5	ED AA	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		HL	true
INDR	6/5	ED BA	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		[HL-B:HL]	true
INI	5	ED A2	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		HL	true
INIR	6/5	ED B2	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		[HL:HL+B]	true
JP IX	2	DD E9	2	IX				PC				true
JP (IX)	2	DD E9	2	IX				PC				true
JP IY	2	FD E9	2	IY				PC				true
JP (IY)	2	FD E9	2	IY				PC				true
JR C,o	3/2	38 o	2		C			PC				true
JR NC,o	3/2	30 o	2		C			PC				true
JR NZ,o	3/2	20 o	2		Z			PC				true
JR Z,o	3/2	28 o	2		Z			PC				true
JR o	3	18 o	2					PC				true
LD (HL),n	3	36 n	2	HL							HL	true
LD A,I	3	ED 57	2	I				A				true
LD A,IXp	2	DD 78+p	2	IXp				A				true
LD A,IYq	2	FD 78+q	2	IYq				A				true
LD A,R	3	ED 5F	2	R				A				true
LD A,n	2	3E n	2					A				true
LD B,IXp	2	DD 40+p	2	IXp				B				true
LD B,IYq	2	FD 40+q	2	IYq				B				true
LD B,n	2	06 n	2					B				true
LD C,IXp	2	DD 48+p	2	IXp				C				true
LD C,IYq	2	FD 48+q	2	IYq				C				true
LD C,n	2	0E n	2					C				true
LD D,IXp	2	DD 50+p	2	IXp				D				true
LD D,IYq	2	FD 50+q	2	IYq				D				true
LD D,n	2	16 n	2					D				true
LD E,IXp	2	DD 58+p	2	IXp				E				true
LD E,IYq	2	FD 58+q	2	IYq				E				true
LD E,n	2	1E n	2					E				true
LD H,n	2	26 n	2					H				true
LD I,A	3	ED 47	2	A				I				true
LD IXH,p	3	DD 60+p	2	p				IXH				true
LD IXL,p	3	DD 68+p	2	p				IXL				true
LD IYH,q	3	FD 60+q	2	q				IYH				true
LD IYL,q	3	FD 68+q	2	q				IYL				true
LD L,n	2	2E n	2					L				true
LD R,A	3	ED 4F	2	A				R				true
LD SP,IX	3	DD F9	2	IX				SP				true
LD SP,IY	3	FD F9	2	IY				SP				true
LDD	5	ED A8	2	BC,DE,HL			HL	BC,HL,DE	H,P/V,N		DE	true
LDDR	6/5	ED B8	2	BC,DE,HL			[HL-BC:HL]	BC,DE,HL			[DE-BC:DE]	true
LDI	5	ED A0	2	BC,DE,HL			HL	BC,HL,DE	H,P/V,N		DE	true
LDIR	6/5	ED B0	2	BC,DE,HL			[HL:HL+BC]	BC,DE,HL			[DE:DE+BC]	true
NEG	2	ED 44	2	A				A	S,Z,H,P/V,N,C			true
OR IXp	2	DD B0+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
OR IYq	2	FD B0+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
OR n	2	F6 n	2	A				A	S,Z,H,P/V,N,C			true
OTDR	6/5	ED BB	2	B,C,HL			[HL-B:HL]	B,HL	S,Z,H,P/V,N,C	C		true
OTIR	6/5	ED B3	2	B,C,HL			[HL:HL+B]	B,HL	S,Z,H,P/V,N,C	C		true
OUT (C),A	4	ED 79	2	A,BC					S,Z,N	C		true
OUT (C),B	4	ED 41	2	BC					S,Z,N	C		true
OUT (C),C	4	ED 49	2	BC					S,Z,N	C		true
OUT (C),D	4	ED 51	2	BC,D					S,Z,N	C		true
OUT (C),E	4	ED 59	2	BC,E					S,Z,N	C		true
OUT (C),H	4	ED 61	2	BC,H					S,Z,N	C		true
OUT (C),L	4	ED 69	2	BC,L					S,Z,N	C		true
OUT (n),A	4	D3 n	2	A,B					S,Z,N	n		true
OUTD	5	ED AB	2	B,C,HL			HL	B,HL	S,Z,H,P/V,N,C	C		true
OUTI	5	ED A3	2	B,C,HL			HL	B,HL	S,Z,H,P/V,N,C	C		true
POP IX	5	DD E1	2	SP			[SP:SP+1]	IX,SP				true
POP IY	5	FD E1	2	SP			[SP:SP+1]	IY,SP				true
PUSH IX	5	DD E5	2	SP,IX				SP			[SP-2:SP-1]	true
PUSH IY	5	FD E5	2	SP,IY				SP			[SP-2:SP-1]	true
RES b,(HL)	4	CB 86+8*b	2	HL			HL				HL	true
RES b,r	2	CB 80+8*b+r	2	r				r				true
RETI	4	ED 4D	2				[SP:SP+1]	SP,PC				true
RETN	4	ED 45	2				[SP:SP+1]	SP,PC				true
RL (HL)	4	CB 16	2	HL	C			HL	S,Z,H,P/V,N,C		HL	true
RL r	2	CB 10+r	2	r	C			r	S,Z,H,P/V,N,C			true
RLC (HL)	4	CB 06	2	HL				HL	S,Z,H,P/V,N,C		HL	true
RLC r	2	CB 00+r	2	r				r	S,Z,H,P/V,N,C			true
RLD	5	ED 6F	2	A,HL			HL		S,Z,H,P/V,N			true
RR (HL)	4	CB 1E	2	HL	C			HL	S,Z,H,P/V,N,C		HL	true
RR r	2	CB 18+r	2	r	C			r	S,Z,H,P/V,N,C			true
RRC (HL)	4	CB 0E	2	HL				HL	S,Z,H,P/V,N,C		HL	true
RRC r	2	CB 08+r	2	r				r	S,Z,H,P/V,N,C			true
RRD	5	ED 67	2	A,HL			HL		S,Z,H,P/V,N			true
SBC A,IXp	2	DD 98+p	2	A,IXp	C			A	S,Z,H,P/V,N,C			true
SBC A,IYq	2	FD 98+q	2	A,IYq	C			A	S,Z,H,P/V,N,C			true
SBC A,n	2	DE n	2	A	C			A	S,Z,H,P/V,N,C			true
SBC HL,BC	4	ED 42	2	HL,BC	C			HL	S,Z,H,P/V,N,C			true
SBC HL,DE	4	ED 52	2	HL,DE	C			HL	S,Z,H,P/V,N,C			true
SBC HL,HL	4	ED 62	2	HL	C			HL	S,Z,H,P/V,N,C			true
SBC HL,SP	4	ED 72	2	HL,SP	C			HL	S,Z,H,P/V,N,C			true
SET b,(HL)	4	CB C6+8*b	2	HL			HL				HL	true
SET b,r	2	CB C0+8*b+r	2	r				r				true
SLA (HL)	4	CB 26	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SLA r	2	CB 20+r	2	r				r	S,Z,H,P/V,N,C			true
SLI (HL)	4	CB 36	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SLI r	2	CB 30+r	2	r				r	S,Z,H,P/V,N,C			true
SRA (HL)	4	CB 2E	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SRA r	2	CB 28+r	2	r				r	S,Z,H,P/V,N,C			true
SRL (HL)	4	CB 3E	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SRL r	2	CB 38+r	2	r				r	S,Z,H,P/V,N,C			true
SUB IXp	2	DD 90+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
SUB IYq	2	FD 90+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
SUB n	2	D6 n	2	A				A	S,Z,H,P/V,N,C			true
XOR IXp	2	DD A8+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
XOR IYq	2	FD A8+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
XOR n	2	EE n	2	A				A	S,Z,H,P/V,N,C			true
ADC A,(IX+o)	5	DD 8E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			true
ADC A,(IY+o)	5	FD 8E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			true
ADD A,(IX+o)	5	DD 86 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
ADD A,(IY+o)	5	FD 86 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
AND (IX+o)	5	DD A6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
