; Author: Santiago Ontañón Villar (Brain Games)
; Information to construct this table was obtained from the following resources:		
; - http://map.grauw.nl/resources/z80instr.php (main source; the table in this website, removing the R800 info, is the basis over which I added additional info; check this page for an explanation on the notation)						
; - https://wiki.octoate.de/lib/exe/fetch.php/amstradcpc:z80_cpc_timings_cheat_sheet.20131019.pdf for the Amstrad CPC timings (thanks to cpcitor for making this sheet, based on Kevin Thacker's data)
; - Zilog Z80 User manual (for the registers, addresses, i/o ports and flags that affect and are affected by an instruction)
; - The Undocumented Z80 Documented (for corrections on the above)												
; - To clarify whether 16 bit adds modify the C flag or not (not clear in the manual, as it's different for HL than for IX/IY), I checked the source code of the OpenMSX emulator to see how flags are updated there
; Instruction	Timing	Opcode	Size	Input Registers	Input Flags	Input Ports	Input Memory	Output Registers	Output Flags	Output Ports	Output Memory	Official
IN A,(n)	11	DB n	2	A		n		A	S,Z,N			true
IN B,(C)	12	ED 40	2	BC		C		B	S,Z,N			true
IN C,(C)	12	ED 48	2	BC		C		C	S,Z,N			true
IN D,(C)	12	ED 50	2	BC		C		D	S,Z,N			true
IN E,(C)	12	ED 58	2	BC		C		E	S,Z,N			true
IN F,(C)	12	ED 70	2	BC		C		F	S,Z,N			true
IN H,(C)	12	ED 60	2	BC		C		H	S,Z,N			true
IN L,(C)	12	ED 68	2	BC		C		L	S,Z,N			true
INC IX	10	DD 23	2	IX				IX				true
INC IXp	8	DD 04+8*p	2	IXp				IXp	S,Z,H,P/V,N			true
INC IY	10	FD 23	2	IY				IY				true
INC IYq	8	FD 04+8*q	2	IYq				IYq	S,Z,H,P/V,N			true
IND	16	ED AA	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		HL	true
INDR	21/16	ED BA	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		[HL-B:HL]	true
INI	16	ED A2	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		HL	true
INIR	21/16	ED B2	2	HL,B,C		C		HL,B	S,Z,H,P/V,N,C		[HL:HL+B]	true
JP IX	8	DD E9	2	IX				PC				true
JP (IX)	8	DD E9	2	IX				PC				true
JP IY	8	FD E9	2	IY				PC				true
JP (IY)	8	FD E9	2	IY				PC				true
JR C,o	12/7	38 o	2		C			PC				true
JR NC,o	12/7	30 o	2		C			PC				true
JR NZ,o	12/7	20 o	2		Z			PC				true
JR Z,o	12/7	28 o	2		Z			PC				true
JR o	12	18 o	2					PC				true
LD (HL),n	10	36 n	2	HL							HL	true
LD A,I	9	ED 57	2	I				A				true
LD A,IXp	8	DD 78+p	2	IXp				A				true
LD A,IYq	8	FD 78+q	2	IYq				A				true
LD A,R	9	ED 5F	2	R				A				true
LD A,n	7	3E n	2					A				true
LD B,IXp	8	DD 40+p	2	IXp				B				true
LD B,IYq	8	FD 40+q	2	IYq				B				true
LD B,n	7	06 n	2					B				true
LD C,IXp	8	DD 48+p	2	IXp				C				true
LD C,IYq	8	FD 48+q	2	IYq				C				true
LD C,n	7	0E n	2					C				true
LD D,IXp	8	DD 50+p	2	IXp				D				true
LD D,IYq	8	FD 50+q	2	IYq				D				true
LD D,n	7	16 n	2					D				true
LD E,IXp	8	DD 58+p	2	IXp				E				true
LD E,IYq	8	FD 58+q	2	IYq				E				true
LD E,n	7	1E n	2					E				true
LD H,n	7	26 n	2					H				true
LD I,A	9	ED 47	2	A				I				true
LD IXH,p	8	DD 60+p	2	p				IXH				true
LD IXL,p	8	DD 68+p	2	p				IXL				true
LD IYH,q	8	FD 60+q	2	q				IYH				true
LD IYL,q	8	FD 68+q	2	q				IYL				true
LD L,n	7	2E n	2					L				true
LD R,A	9	ED 4F	2	A				R				true
LD SP,IX	10	DD F9	2	IX				SP				true
LD SP,IY	10	FD F9	2	IY				SP				true
LDD	16	ED A8	2	BC,DE,HL			HL	BC,HL,DE	H,P/V,N		DE	true
LDDR	21/16	ED B8	2	BC,DE,HL			[HL-BC:HL]	BC,DE,HL			[DE-BC:DE]	true
LDI	16	ED A0	2	BC,DE,HL			HL	BC,HL,DE	H,P/V,N		DE	true
LDIR	21/16	ED B0	2	BC,DE,HL			[HL:HL+BC]	BC,DE,HL			[DE:DE+BC]	true
NEG	8	ED 44	2	A				A	S,Z,H,P/V,N,C			true
OR IXp	8	DD B0+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
OR IYq	8	FD B0+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
OR n	7	F6 n	2	A				A	S,Z,H,P/V,N,C			true
OTDR	21/16	ED BB	2	B,C,HL			[HL-B:HL]	B,HL	S,Z,H,P/V,N,C	C		true
OTIR	21/16	ED B3	2	B,C,HL			[HL:HL+B]	B,HL	S,Z,H,P/V,N,C	C		true
OUT (C),A	12	ED 79	2	A,BC					S,Z,N	C		true
OUT (C),B	12	ED 41	2	BC					S,Z,N	C		true
OUT (C),C	12	ED 49	2	BC					S,Z,N	C		true
OUT (C),D	12	ED 51	2	BC,D					S,Z,N	C		true
OUT (C),E	12	ED 59	2	BC,E					S,Z,N	C		true
OUT (C),H	12	ED 61	2	BC,H					S,Z,N	C		true
OUT (C),L	12	ED 69	2	BC,L					S,Z,N	C		true
OUT (n),A	11	D3 n	2	A,B					S,Z,N	n		true
OUTD	16	ED AB	2	B,C,HL			HL	B,HL	S,Z,H,P/V,N,C	C		true
OUTI	16	ED A3	2	B,C,HL			HL	B,HL	S,Z,H,P/V,N,C	C		true
POP IX	14	DD E1	2	SP			[SP:SP+1]	IX,SP				true
POP IY	14	FD E1	2	SP			[SP:SP+1]	IY,SP				true
PUSH IX	15	DD E5	2	SP,IX				SP			[SP-2:SP-1]	true
PUSH IY	15	FD E5	2	SP,IY				SP			[SP-2:SP-1]	true
RES b,(HL)	15	CB 86+8*b	2	HL			HL				HL	true
RES b,r	8	CB 80+8*b+r	2	r				r				true
RETI	14	ED 4D	2				[SP:SP+1]	SP,PC				true
RETN	14	ED 45	2				[SP:SP+1]	SP,PC				true
RL (HL)	15	CB 16	2	HL	C			HL	S,Z,H,P/V,N,C		HL	true
RL r	8	CB 10+r	2	r	C			r	S,Z,H,P/V,N,C			true
RLC (HL)	15	CB 06	2	HL				HL	S,Z,H,P/V,N,C		HL	true
RLC r	8	CB 00+r	2	r				r	S,Z,H,P/V,N,C			true
RLD	18	ED 6F	2	A,HL			HL		S,Z,H,P/V,N			true
RR (HL)	15	CB 1E	2	HL	C			HL	S,Z,H,P/V,N,C		HL	true
RR r	8	CB 18+r	2	r	C			r	S,Z,H,P/V,N,C			true
RRC (HL)	15	CB 0E	2	HL				HL	S,Z,H,P/V,N,C		HL	true
RRC r	8	CB 08+r	2	r				r	S,Z,H,P/V,N,C			true
RRD	18	ED 67	2	A,HL			HL		S,Z,H,P/V,N			true
SBC A,IXp	8	DD 98+p	2	A,IXp	C			A	S,Z,H,P/V,N,C			true
SBC A,IYq	8	FD 98+q	2	A,IYq	C			A	S,Z,H,P/V,N,C			true
SBC A,n	7	DE n	2	A	C			A	S,Z,H,P/V,N,C			true
SBC HL,BC	15	ED 42	2	HL,BC	C			HL	S,Z,H,P/V,N,C			true
SBC HL,DE	15	ED 52	2	HL,DE	C			HL	S,Z,H,P/V,N,C			true
SBC HL,HL	15	ED 62	2	HL	C			HL	S,Z,H,P/V,N,C			true
SBC HL,SP	15	ED 72	2	HL,SP	C			HL	S,Z,H,P/V,N,C			true
SET b,(HL)	15	CB C6+8*b	2	HL			HL				HL	true
SET b,r	8	CB C0+8*b+r	2	r				r				true
SLA (HL)	15	CB 26	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SLA r	8	CB 20+r	2	r				r	S,Z,H,P/V,N,C			true
SLI (HL)	15	CB 36	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SLI r	8	CB 30+r	2	r				r	S,Z,H,P/V,N,C			true
SRA (HL)	15	CB 2E	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SRA r	8	CB 28+r	2	r				r	S,Z,H,P/V,N,C			true
SRL (HL)	15	CB 3E	2	HL			HL		S,Z,H,P/V,N,C		HL	true
SRL r	8	CB 38+r	2	r				r	S,Z,H,P/V,N,C			true
SUB IXp	8	DD 90+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
SUB IYq	8	FD 90+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
SUB n	7	D6 n	2	A				A	S,Z,H,P/V,N,C			true
XOR IXp	8	DD A8+p	2	A,IXp				A	S,Z,H,P/V,N,C			true
XOR IYq	8	FD A8+q	2	A,IYq				A	S,Z,H,P/V,N,C			true
XOR n	7	EE n	2	A				A	S,Z,H,P/V,N,C			true
ADC A,(IX+o)	19	DD 8E o	3	A,IX	C		IX+o	A	S,Z,H,P/V,N,C			true
ADC A,(IY+o)	19	FD 8E o	3	A,IY	C		IY+o	A	S,Z,H,P/V,N,C			true
ADD A,(IX+o)	19	DD 86 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
ADD A,(IY+o)	19	FD 86 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
AND (IX+o)	19	DD A6 o	3	A,IX			IX+o	A	S,Z,H,P/V,N,C			true
AND (IY+o)	19	FD A6 o	3	A,IY			IY+o	A	S,Z,H,P/V,N,C			true
CALL C,nn	17/10	DC nn nn	3	SP	C			SP,PC			[SP-2:SP-1]	true
CALL M,nn	17/10	FC nn nn	3	SP	S			SP,PC			[SP-2:SP-1]	true
CALL NC,nn	17/10	D4 nn nn	3	SP	C			SP,PC			[SP-2:SP-1]	true
CALL NZ,nn	17/10	C4 nn nn	3	SP	Z			SP,PC			[SP-2:SP-1]	true
CALL P,nn	17/10	F4 nn nn	3	SP	S			SP,PC			[SP-2:SP-1]	true
CALL PE,nn	17/10	EC nn nn	3	SP	P/V			SP,PC			[SP-2:SP-1]	true
CALL PO,nn	17/10	E4 nn nn	3	SP	P/V			SP,PC			[SP-2:SP-1]	true
CALL Z,nn	17/10	CC nn nn	3	SP	Z			SP,PC			[SP-2:SP-1]	true
CALL nn	17	CD nn nn	3	SP				SP,PC			[SP-2:SP-1]	true
CP (IX+o)	19	DD BE o	3	A,IX			IX+o		S,Z,H,P/V,N,C			true
CP (IY+o)	19	FD BE o	3	A,IY			IY+o		S,Z,H,P/V,N,C			true
DEC (IX+o)	23	DD 35 o	3	IX			IX+o		S,Z,H,P/V,N		IX+o	true
DEC (IY+o)	23	FD 35 o	3	IY			IY+o		S,Z,H,P/V,N		IY+o	true
INC (IX+o)	23	DD 34 o	3	IX			IX+o		S,Z,H,P/V,N		IX+o	true
INC (IY+o)	23	FD 34 o	3	IY			IY+o		S,Z,H,P/V,N		IY+o	true
JP C,nn	10	DA nn nn	3		C			PC				true
JP M,nn	10	FA nn nn	3		S			PC				true
JP NC,nn	10	D2 nn nn	3		C			PC				true
JP NZ,nn	10	C2 nn nn	3		Z			PC				true
JP P,nn	10	F2 nn nn	3		S			PC				true
JP PE,nn	10	EA nn nn	3		P/V			PC				true
JP PO,nn	10	E2 nn nn	3		P/V			PC				true
JP Z,nn	10	CA nn nn	3		Z			PC				true
JP nn	10	C3 nn nn	3					PC				true
LD (IX+o),r	19	DD 70+r o	3	IX,r							IX+o	true
LD (IY+o),r	19	FD 70+r o	3	IY,r							IY+o	true
LD (nn),A	13	32 nn nn	3	A							nn	true
LD (nn),HL	16	22 nn nn	3	HL							[nn:nn+1]	true
LD A,(IX+o)	19	DD 7E o	3	IX			IX+o	A				true
LD A,(IY+o)	19	FD 7E o	3	IY			IY+o	A				true
LD A,(nn)	13	3A nn nn	3				nn	A				true
LD B,(IX+o)	19	DD 46 o	3	IX			IX+o	B				true
LD B,(IY+o)	19	FD 46 o	3	IY			IY+o	B				true
LD BC,nn	10	01 nn nn	3					BC				true
LD C,(IX+o)	19	DD 4E o	3	IX			IX+o	C				true
